Observe,Shannon,J,Group,study
212,4.08238105929651,0.76212364553887,Normal,Baxter_16
233,4.05101546233241,0.743163985512249,Normal,Baxter_16
243,4.0518783932435,0.737635731010392,Normal,Baxter_16
139,3.43120232265426,0.695353216807313,Normal,Baxter_16
211,3.88233065210752,0.725417332687389,Normal,Baxter_16
217,4.08376092036814,0.759077850747589,CRC,Baxter_16
175,3.73429385693082,0.72302973942868,Normal,Baxter_16
275,4.0992685176997,0.729826522466387,Normal,Baxter_16
172,3.48718719972548,0.677453315478682,CRC,Baxter_16
126,3.62716738829661,0.749990893434699,Normal,Baxter_16
299,4.29456796132189,0.753374348159267,Normal,Baxter_16
191,3.69604942114308,0.703704685557027,CRC,Baxter_16
215,3.81783220441779,0.710871256715244,Normal,Baxter_16
309,4.54670265388371,0.793028433908942,Normal,Baxter_16
179,3.65252729102093,0.70411714642631,Normal,Baxter_16
140,3.71799162955304,0.752379737664194,Normal,Baxter_16
194,3.43910553408453,0.652847026294276,Normal,Baxter_16
76,1.98050267238116,0.457313465587382,Normal,Baxter_16
172,2.9246288955912,0.568165523783463,Normal,Baxter_16
152,3.45896446877992,0.688504524426321,Normal,Baxter_16
121,3.50635581893998,0.73113197617843,Normal,Baxter_16
154,3.80435907700981,0.755289830439703,Normal,Baxter_16
183,3.46197288845901,0.66455170181626,Normal,Baxter_16
113,3.21325345547947,0.679710144101251,Normal,Baxter_16
184,3.68962544401685,0.707511197742638,Normal,Baxter_16
130,3.1007691931029,0.637030764684712,Normal,Baxter_16
152,3.67870050069965,0.732242832096645,Normal,Baxter_16
311,4.38901056401982,0.764663574308892,Normal,Baxter_16
138,3.84997317339575,0.781362888822501,Normal,Baxter_16
270,3.72699988877322,0.66572329061099,Normal,Baxter_16
110,2.88709338783001,0.614212413020747,Normal,Baxter_16
203,3.80412483762073,0.715975411573783,Normal,Baxter_16
207,3.88089251733196,0.727751203051077,Normal,Baxter_16
186,3.77616310800095,0.722607379151383,Normal,Baxter_16
156,3.28120149288107,0.649761396794404,Normal,Baxter_16
269,4.36892700270854,0.780903018274995,Normal,Baxter_16
121,2.27293320681171,0.473943385392135,Normal,Baxter_16
190,3.86912491836663,0.737394161939399,Normal,Baxter_16
256,4.49068367045645,0.80983588269607,Normal,Baxter_16
223,4.11312217549213,0.760679029507037,Normal,Baxter_16
168,3.1334368742897,0.611525937123123,Normal,Baxter_16
197,3.79057651819665,0.717476878201348,Normal,Baxter_16
247,3.75166408420892,0.680958366878369,Normal,Baxter_16
162,4.08134518970921,0.802214822242336,Normal,Baxter_16
201,4.02476999004879,0.758917327935005,Normal,Baxter_16
126,3.39552471434954,0.702094042423158,Normal,Baxter_16
191,4.03016814365747,0.767318799919433,Normal,Baxter_16
261,4.22146531722049,0.758639560682571,Normal,Baxter_16
234,3.99444898643046,0.732211523751623,CRC,Baxter_16
152,3.44491829372247,0.685708642836548,Normal,Baxter_16
261,4.11728136332796,0.739916661624563,Normal,Baxter_16
84,2.72308764465975,0.614579155105357,Normal,Baxter_16
175,3.70784235218362,0.717908229092967,Normal,Baxter_16
171,3.50083728393203,0.680876382801151,CRC,Baxter_16
166,3.75554593159437,0.734654714971795,Normal,Baxter_16
249,4.02797193595796,0.730041925421578,Normal,Baxter_16
158,3.14076125442733,0.620385638973268,CRC,Baxter_16
127,2.82335333107834,0.582833255753215,Normal,Baxter_16
171,3.44658456418065,0.670324793970961,CRC,Baxter_16
245,3.92216634914942,0.712958054146862,Normal,Baxter_16
211,3.88798704912759,0.72647423608038,Normal,Baxter_16
217,4.02288866317243,0.747763088923064,CRC,Baxter_16
172,3.52598694998121,0.684990914679711,CRC,Baxter_16
278,4.50466473158454,0.800456292380058,CRC,Baxter_16
184,3.96538422979393,0.760389852168003,Normal,Baxter_16
153,3.5704021445874,0.709759706884347,CRC,Baxter_16
158,3.56363872072653,0.703915422323598,Normal,Baxter_16
139,3.35965849852484,0.680854442449815,CRC,Baxter_16
136,3.33705606504438,0.679277527663008,Normal,Baxter_16
200,3.51358704987425,0.663151488821332,Normal,Baxter_16
165,3.86038995550239,0.756057810494659,Normal,Baxter_16
188,3.37300517522765,0.644140658708794,CRC,Baxter_16
252,4.08367017786667,0.738533782283221,Normal,Baxter_16
275,3.98582370927004,0.709629009258703,Normal,Baxter_16
