Observe,Shannon,J,Group,study
89,3.32816063598541,0.741463634351832,Normal,Hale_17
26,1.74445167255971,0.535420498503413,Normal,Hale_17
107,3.71483064788877,0.794985388827439,Normal,Hale_17
61,2.52141261516246,0.613351977820781,Normal,Hale_17
59,2.61742818737457,0.641913955023655,Normal,Hale_17
104,3.60095343931621,0.775333841942962,Normal,Hale_17
74,3.463706471193,0.804752343699904,Normal,Hale_17
65,2.96043296656182,0.709189822398973,Normal,Hale_17
82,3.41536537731568,0.775035845416289,Normal,Hale_17
56,2.81574081491782,0.699501815306871,Normal,Hale_17
82,3.46982980068935,0.787395249389547,Normal,Hale_17
47,2.55511741502731,0.663641418290676,Normal,Hale_17
83,3.37021584054207,0.762692330335623,Normal,Hale_17
54,2.3283670779449,0.583699270482251,Normal,Hale_17
79,3.43510769208477,0.786165165043745,Normal,Hale_17
88,3.39535322436812,0.758342149598548,Normal,Hale_17
99,3.59253069375499,0.781814361958322,Normal,Hale_17
100,3.49360980278335,0.758627729635959,CRC,Hale_17
109,3.77279677555546,0.80420315659106,Normal,Hale_17
69,3.30879136250325,0.781461533598805,Normal,Hale_17
60,3.09094116948588,0.754929420939685,Normal,Hale_17
66,2.87506396859385,0.686229330487327,Normal,Hale_17
95,3.68324440381871,0.808815102273036,Normal,Hale_17
82,3.33796590412115,0.757471878017507,Normal,Hale_17
81,3.13989783376,0.714514543972246,Normal,Hale_17
77,3.26343732862592,0.751285338935203,Normal,Hale_17
100,3.59072059476582,0.77971507018158,Normal,Hale_17
81,3.25056585834521,0.739698138249936,Normal,Hale_17
48,2.53132988645478,0.653887483321648,Normal,Hale_17
62,2.75406407733025,0.667306615289718,Normal,Hale_17
56,2.63164799894196,0.65376846574649,Normal,Hale_17
59,2.97142076400332,0.728729240351772,Normal,Hale_17
77,3.18373973191033,0.732937924864897,Normal,Hale_17
44,2.3861715212518,0.630563410423247,Normal,Hale_17
110,3.87602716058386,0.824602351025974,Normal,Hale_17
57,2.2044364422409,0.545240783805739,Normal,Hale_17
71,3.41236445293806,0.800520928469662,Normal,Hale_17
96,2.98094695117511,0.653093678687226,Normal,Hale_17
84,3.69830165687011,0.834677176866255,Normal,Hale_17
87,3.5359643972509,0.791768281680672,Normal,Hale_17
91,3.82950961551584,0.848953422287556,Normal,Hale_17
39,1.99227887007545,0.543809293390813,Normal,Hale_17
98,3.74742749272749,0.817329132684289,CRC,Hale_17
54,1.95279156155287,0.489546094634,Normal,Hale_17
68,3.02468628560337,0.716833928728927,Normal,Hale_17
108,3.88086190884403,0.828866539741918,Normal,Hale_17
65,2.45550715225336,0.588231755582837,Normal,Hale_17
80,3.1706983392147,0.72356893363581,Normal,Hale_17
74,3.21722272594011,0.74748468163734,Normal,Hale_17
77,3.1820522261567,0.732549439288371,Normal,Hale_17
113,3.73605584392773,0.790300264585732,Normal,Hale_17
68,3.34868463220526,0.793619745757876,Normal,Hale_17
46,2.71702634078377,0.709658090014728,Normal,Hale_17
90,3.78007093402068,0.840051293490208,Normal,Hale_17
77,3.18604542623222,0.733468725418322,Normal,Hale_17
96,3.71770301670681,0.814509073531317,Normal,Hale_17
67,2.91236461044566,0.69264625837679,Normal,Hale_17
76,3.3185368104566,0.76627595136975,Normal,Hale_17
66,2.76978847612534,0.661101844107007,Normal,Hale_17
40,2.13926445690826,0.579922570937496,Normal,Hale_17
77,3.37920366342412,0.777936241440132,Normal,Hale_17
60,2.9663411918964,0.724497205063391,Normal,Hale_17
84,2.90431577243219,0.65548089760569,Normal,Hale_17
91,3.37218507187799,0.747570405818711,Normal,Hale_17
111,3.66183911168776,0.777538088760397,Normal,Hale_17
76,3.0023528949842,0.693266626937067,Normal,Hale_17
109,3.61479866588293,0.770524539349515,Normal,Hale_17
96,3.13849611116065,0.68761101903388,Normal,Hale_17
94,3.65000938710837,0.803383791285647,Normal,Hale_17
70,3.03645224246596,0.714712402737976,Normal,Hale_17
18,2.00799179213143,0.694717482844838,Normal,Hale_17
67,2.7796050849931,0.661072125028657,Normal,Hale_17
80,3.20620424458443,0.73167155562555,Normal,Hale_17
80,3.28158098277271,0.748872897486835,Normal,Hale_17
49,2.44720105964105,0.628806283997517,Normal,Hale_17
81,3.19700089197256,0.727508904858603,Normal,Hale_17
67,2.82226337439683,0.671217525243408,Normal,Hale_17
85,3.38404180907627,0.761716734828665,Normal,Hale_17
100,3.16698976815147,0.68770309027612,CRC,Hale_17
72,3.19555041316614,0.747205960025083,Normal,Hale_17
66,3.00529514967943,0.717313319289371,Normal,Hale_17
80,3.27376776173029,0.747089882070953,Normal,Hale_17
75,3.14464117881726,0.728349701521608,Normal,Hale_17
54,2.74776825828811,0.688839119488274,Normal,Hale_17
95,3.58268284086388,0.786732475678472,Normal,Hale_17
62,3.05464974513333,0.74013818309431,Normal,Hale_17
60,3.04280660908907,0.743173067837179,Normal,Hale_17
52,2.5233011845179,0.638609350431012,Normal,Hale_17
62,2.95673949004557,0.716414638873764,Normal,Hale_17
107,3.56309676835759,0.76251386356802,Normal,Hale_17
103,3.54127917909215,0.764074703846889,Normal,Hale_17
61,2.76072236122212,0.671565816037825,Normal,Hale_17
89,3.73119432890466,0.831253418981525,Normal,Hale_17
43,2.23257355621802,0.593580104100984,CRC,Hale_17
87,3.19077594819338,0.714474159211912,Normal,Hale_17
87,3.27605725296059,0.733570231612277,Normal,Hale_17
56,2.56928082594961,0.638274869712162,Normal,Hale_17
92,3.59709771983665,0.795503296658807,Normal,Hale_17
68,2.88082396902113,0.682739354993285,Normal,Hale_17
87,3.43339175772555,0.768800357397389,CRC,Hale_17
47,2.18691835256553,0.568008964537931,Normal,Hale_17
107,2.91513311341383,0.623847612802517,Normal,Hale_17
