Observe,Shannon,J,Group,study
356,4.15863673679957,0.707861407618069,CRC,Deng_18
152,2.21375011626664,0.440645454660163,Normal,Deng_18
266,3.31786919109378,0.594227882962053,Normal,Deng_18
154,2.64665736996955,0.525448138761781,Normal,Deng_18
230,3.32757641208179,0.611902883913749,Normal,Deng_18
134,2.5817627183202,0.527122736506423,Normal,Deng_18
257,3.825159257167,0.689332638198856,Normal,Deng_18
73,2.33025433500487,0.543124662281192,Normal,Deng_18
302,3.4649669717169,0.606778960868284,Normal,Deng_18
244,3.52283312763456,0.64084506481456,Normal,Deng_18
231,3.27915138049786,0.602517402175561,Normal,Deng_18
262,3.92420237912236,0.704734122766971,CRC,Deng_18
301,3.77721144064641,0.661843080898073,CRC,Deng_18
197,3.46924760205212,0.656656033001557,CRC,Deng_18
286,3.61759736455177,0.639604420507001,CRC,Deng_18
255,3.2358589629575,0.583956878532654,Normal,Deng_18
73,2.143106251779,0.499505071933596,Normal,Deng_18
172,3.47674082033378,0.675423904968628,Normal,Deng_18
153,3.09037734683966,0.614335649327372,Normal,Deng_18
214,3.38336980941854,0.630522723162929,Normal,Deng_18
204,2.20063613500177,0.413799639261436,Normal,Deng_18
257,3.70464141064523,0.667614095385967,Normal,Deng_18
258,3.98687250570168,0.717972541440342,Normal,Deng_18
114,2.41942810648639,0.510837570014944,Normal,Deng_18
348,3.86324031135613,0.660134423699059,Normal,Deng_18
257,4.03165814589501,0.726545840102882,CRC,Deng_18
189,3.37310425862464,0.643507641428257,CRC,Deng_18
163,2.99805863231967,0.58857590461441,Normal,Deng_18
264,2.76644013449801,0.496137981771929,Normal,Deng_18
281,3.52189192389529,0.624631143381311,Normal,Deng_18
117,2.68235039027872,0.563261742852036,Normal,Deng_18
127,2.70503868287816,0.558409209759839,Normal,Deng_18
200,3.2759287743672,0.618296064152446,Normal,Deng_18
102,2.080733883319,0.44989105175765,Normal,Deng_18
331,3.81839472583201,0.658103554390833,Normal,Deng_18
221,3.39444407660244,0.628814703130022,Normal,Deng_18
290,3.86440662921621,0.681567511154147,Normal,Deng_18
202,3.43923567712637,0.647901702246505,Normal,Deng_18
285,3.75308102034103,0.66396960713203,CRC,Deng_18
171,3.13374909455853,0.609481553999246,CRC,Deng_18
183,2.20480310431746,0.423228518059289,Normal,Deng_18
191,2.84458761071053,0.541591683997392,CRC,Deng_18
323,3.1405177911283,0.543562958696099,CRC,Deng_18
141,2.46806388726462,0.498723708956511,CRC,Deng_18
113,2.11909019851215,0.44825816704189,CRC,Deng_18
241,3.59367063765837,0.655205777212116,CRC,Deng_18
145,3.02146912917647,0.607118902790024,Normal,Deng_18
19,0.217355459297406,0.0738189722508492,CRC,Deng_18
179,3.29076250467154,0.634377821091752,CRC,Deng_18
219,3.63344560514287,0.674224762131083,CRC,Deng_18
